1#0101	本类似群各部分之间商品不类似；
799#3716	皮革保养、清洁和修补，皮毛保养、清洁和修补与4010皮革修整，鞣革，皮革染色，裘皮染色，裘皮上光，皮毛防蛀处理，使裘皮具有缎子光泽类似。

800#3718	本类似群为单一服务，各自然段间互不类似。

801#3801	本类似群服务项目与3802卫星传送类似。

802#3802	卫星传送与3801服务类似；

803#3802	提供全球计算机网络用户接入服务，提供数据库接入服务与第八版及以前版本4220为计算机用户间交换数据提供即时连接服务交叉检索。

804#3901	本类似群各部分之间服务不类似；

805#3901	卸货与3902码头装卸类似；

806#3901	搬迁与3505服务项目类似；

807#3901	货运经纪，运输经纪与3605经纪类似；

808#3901	运输，货运与3902第（二）部分，3903，3904空中运输，3905马车运输，3912管道运输类似；

809#3901	废物的运输和贮藏与3906服务项目类似；

810#3901	导航，导航系统出租与第十版及以前版本 3904 导航，导航系统出租交叉检索。

811#3901	运送乘客，运送旅客与3902第（二）部分船运货物以外的服务，3903汽车运输，公共汽车运输，铁路运输，出租车运输，有轨电车运输，3904空中运输类似。

812#3902	本类似群各部分之间服务不类似；

813#3902	船舶经纪与3605经纪类似；

814#3902	码头装卸与3901卸货类似；

815#3902	本类似群第（二）部分与3901运输，货运类似；

816#3902	跨类似群保护服务：运载工具故障牵引服务（3902 第（一）部分，3903，3904）。

817#3902	本类似群第（二）部分船运货物以外的服务与3901运送乘客，运送旅客类似

818#3903	本类似群服务项目与3901运输，货运类似；

819#3903	贵重物品的保护运输与与第九版及以前版本3901贵重物品的保护运输交叉检索；

820#3903	跨类似群保护服务：运载工具故障牵引服务（3902 第（一）部分，3903，3904）。

821#3903	汽车运输，公共汽车运输，铁路运输，出租车运输，有轨电车运输与3901运送乘客，运送旅客类似

822#3904	空中运输与3901货运，运输，运送乘客，运送旅客类似；

823#3904	跨类似群保护服务：运载工具故障牵引服务（3902 第（一）部分，3903，3904）。

824#3905	本类似群各部分之间服务不类似；

825#3905	马车运输与3901运输，货运类似。

826#3906	本类似群与3901废物的运输和贮藏类似。

827#3907	本类似群与4105浮潜设备出租类似，与第八版及以前版本4105潜水贴身设备租赁，潜水设备出租交叉检索。

828#3911	本类似群与4105第（六）部分类似

829#3912	本类似群为单一服务，各自然段间互不类似；

830#3912	管道运输与3901运输，货运类似。

831#4001	 打磨与4002，4004，4006，4007类似；

832#4001	碾磨加工与4002，4008，4015药材加工类似；

833#4001	层压与4002，4004类似；

834#4001	研磨，研磨抛光，喷砂处理服务与4002，4006，4007类似；

835#4001	材料刨削处理，材料锯切服务与4002、4004、4006类似。

836#4002	镀锡与3713重新镀锡类似；

837#4002	本类似群与4001打磨，碾磨加工，层压，研磨，研磨抛光，喷砂处理服务类似。

838#4003	布匹漂洗与第八版及以前版本的3716布匹漂洗交叉检索。

839#4004	本类似群与4001打磨，层压类似。

840#4006	本类似群与4001打磨，研磨，研磨抛光，喷砂处理服务类似，与第九版及以前版本的4002研磨加工，研磨抛光交叉检索。

841#4007	本类似群与4001打磨，研磨，研磨抛光，喷砂处理服务类似，及第九版及以前版本的4002研磨加工，研磨抛光交叉检索。

842#4008	本类似群与4001碾磨加工类似，与第九版及以前版本的4002碾磨加工交叉检索。

843#4010	  皮革修整，鞣革，皮革染色，裘皮染色，裘皮上光，皮毛防蛀处理，使裘皮具有缎子光泽与3716皮革保养、清洁和修补，皮毛保养、清洁和修补类似，与第十版及以前版本3716皮革保养、清洗和修补，皮毛保养、清洗和修补交叉检索；

844#4010	针织机出租与第七版及以前版本4227针织机出租交叉检索。

845#4011	本类似群与第七版及以前版本4215交叉检索。

846#4012	本类似群与第七版及以前版本4225交叉检索。

847#4013	空调设备出租与第八版及以前版本3706空调设备出租交叉检索；

848#4013	空间供暖设备出租与第八版及以前版本3705取暖设施出租交叉检索。

849#4015	本类似群为单一服务，各自然段间互不类似；

850#4015	药材加工与4001碾磨加工，及第九版及以前版本的4002碾磨加工交叉检索。

851#4101	幼儿园与4304日间托儿所（看孩子）类似，与第七版及以前版本4221日间托儿所（看孩子）交叉检索；

852#4101	就业指导（教育或培训顾问）与第七版及以前版本4227职业指导交叉检索。

853#4104	本类似群各部分之间服务不类似；

854#4104	录像带发行与4105电影胶片的分配（发行）类似。

855#4105	本类似群各部分之间服务不类似；

856#4105	录像带录制与第七版及以前版本4222录像带录制交叉检索；

857#4105	摄影报道，新闻记者服务与第七版及以前版本4223交叉检索；

858#4105	摄影，微缩摄景与第七版及以前版本4222交叉检索；

859#4105	手语翻译，翻译与第七版及以前版本4219交叉检索服务；

860#4105	电影胶片的分配（发行）与4104录像带发行类似；

861#4105	浮潜设备出租与3907类似，与第八版及以前版本4105第（三）部分潜水贴身设备租赁，潜水设备出租交叉检索；

862#4105	剧院或电视演播室用灯光设备出租与4306照明设备出租类似。

863#4105	本类似群第六部分与3911类似。

864#4107	本类似群为单一服务，各自然段间互不类似；

865#4107	组织彩票发行与第六版及以前版本3602经营彩票交叉检索。

866#4209	本类似群各部分之间服务不类似；

867#4209	本类似群第（一）部分与第十版及以前版本4214物理研究，机械研究交叉检索；

868#4209	工程绘图与4217建筑制图类似。

869#4209	质量检测与4214材料测试类似。

870#4209	技术研究，技术项目研究，科学研究与4210地质研究，4211化学研究，化妆品研究，4212细菌学研究，生物学研究类似。

871#4210	地质研究与4209技术研究，技术项目研究，科学研究类似。

872#4211	化学研究，化妆品研究与4209技术研究，技术项目研究，科学研究类似。

873#4212	细菌学研究，生物学研究与4209技术研究，技术项目研究，科学研究类似。

874#4214	材料测试与4209质量检测类似；

875#4217	建筑制图与4209工程绘图类似。

876#4218	本类似群与第七版及以前版本4218中的服装设计类似。

877#4227	本类似群为单一服务，各自然段间互不类似。

878#4301	本类似群与第七版及以前版本4201交叉检索。

879#4302	本类似群与第七版及以前版本4202交叉检索。

880#4303	养老院与4401第（二）部分类似，与第七版及以前版本4203养老院，疗养院（非医疗），疗养院，休养所，疗养院（诊所或小型私人医院），济贫院交叉检索。

881#4304	日间托儿所（看孩子）与4101幼儿园类似、与第七版及以前版本4221日间托儿所（看孩子）交叉检索。

882#4305	本类似群与4403 动物养殖，水产养殖服务类似，与第十版及以前版本4403 动物饲养，宠物饲养，第七版及以前版本4205动物寄养，动物饲养，宠物饲养，动物喂养，为动物提供膳食，爱畜饲养交叉检索。

883#4306	本类似群为单一服务，各自然段间互不类似；

884#4306	出租椅子、桌子、桌布和玻璃器皿与第七版及以前版本4227群出租椅子、桌子、桌布和玻璃器皿交叉检索；

885#4306	照明设备出租与4105 剧院或电视演播室用灯光设备出租类似。

886#4401	本类似群各部分之间服务不类似；

887#4401	各部分与第七版及以前版本4203相对应的各自然段分别交叉检索；

888#4401	医疗按摩与4402按摩类似；

889#4401	第（二）部分与4303养老院类似。

890#4402	本类似群与第七版及以前版本4204交叉检索；

891#4402	按摩与4401医疗按摩类似。

892#4403	本类似群与第七版及以前版本4205交叉检索；

893#4403	动物养殖，水产养殖服务与4305类似。

894#4404	本类似群与第七版及以前版本4206交叉检索；

895#4404	花环制作与第七版及以前版本4226花圈制作交叉检索。

896#4405	本类似群为单一服务，各自然段间互不类似；

897#4405	配镜服务与第七版及以前版本4227眼镜行交叉检索；

898#4405	卫生设备出租与第七版及以前版本4227卫生设备出租交叉检索。

899#4501	本类似群与第七版及以前版本4208交叉检索。

900#4502	本类似群与第七版及以前版本4221中除日间托儿所（看孩子）外的其它服务交叉检索。

901#4503	本类似群与第七版及以前版本4218夜礼服出租，衣服出租，制服出租，服装租赁交叉检索。

902#4504	本类似群与第七版及以前版本4226交叉检索。

903#4505	本类似群为单一服务，各自然段间互不类似；

904#4505	本类似群各自然段与第七版及以前版本4227各单一服务交叉检索；

905#4505	计划和安排婚礼服务与第九版及以前版本4102组织安排婚庆活动、婚庆主持（司仪）交叉检索；

906#4505	保险箱出租与第九版及以前版本3602保险箱出租交叉检索。

907#4506	本类似群与第八版及以前版本4207交叉检索。
